name_2019,migration_net,population,male_20_34_p,enrolled_9_12_p,enrolled_college_p,enrolled_grad_p,occ_com_sci_math_p,occ_eng_p,mult_desktop_laptop_p,inc_50_74,inc_75_99,inc_100_149,inc_150_199,median_income,mean_income
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",8853,6090660,9.82,4.92,5.69,1.46,0.86,2.07,27.56,17.2,11.7,13.3,5.8,56775,86518
"Miami, OK Micro Area",-65,31454,9.04,5.15,4.55,0.43,0.3,0.26,22.96,18.7,10.2,7.1,1.9,39872,53337
"Michigan City-La Porte, IN Metro Area",1175,110154,10.95,5.22,2.98,0.54,0.31,0.81,28.95,18.8,13.5,13.2,4.4,53658,69755
"Middlesborough, KY Micro Area",103,26791,9.22,4.82,2.61,0.88,0.13,0.08,21.38,11.5,7.2,3.6,0.6,26272,37783
"Midland, MI Metro Area",-371,83355,9.49,5.28,4.86,1.01,1.06,3.39,32.22,19.3,14,14.1,5.8,62625,86910
"Midland, TX Metro Area",2404,173816,12.8,5.08,4.3,1.15,0.48,2.09,25.51,17.1,13.5,18.1,9.2,79140,109861
"Milledgeville, GA Micro Area",207,53626,13.4,4.39,11.68,0.55,0.81,0.42,23.72,17.1,12.6,9.6,2.4,41584,55595
"Milwaukee-Waukesha, WI Metro Area",499,1575223,10.09,5.38,5.13,1.33,1.01,1.92,30.85,17.1,12.9,15.8,6.8,62389,86290
"Minden, LA Micro Area",-183,39242,9.14,4.99,3.52,0.54,0.35,0.32,19.79,13.3,5.6,5.8,1.9,28951,43967
"Mineral Wells, TX Micro Area",147,28540,8.66,5.91,2.67,0.18,0.3,0.74,24.91,18.3,14.2,10.1,3.9,50154,66155
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",11633,3573609,10.49,5.47,4.97,1.48,1.52,2.19,32.63,16.4,14.2,19.4,9.6,80421,104946
"Minot, ND Micro Area",-415,77132,15.6,4.09,5.98,1.16,0.41,0.79,32.82,18.9,15.2,18.6,6.4,68669,84422
"Missoula, MT Metro Area",629,117309,13.41,3.96,9.4,1.96,0.86,1.12,35.02,19,12.8,12,5.4,54062,74060
"Mitchell, SD Micro Area",444,23270,10.85,5.32,4.95,0.7,0.49,0.42,32.65,17,13.5,14.1,3.9,51590,72719
"Moberly, MO Micro Area",281,24878,11.35,5.41,3.49,0.58,0.06,0.27,23.63,20.3,12.4,11.5,2.2,47740,57461
"Mobile, AL Metro Area",-682,430655,9.85,5.53,4.51,0.93,0.58,1.13,24.54,18.1,11.1,11.5,4,47302,64784
"Modesto, CA Metro Area",988,543194,10.87,6.36,5.94,0.67,0.34,0.59,23.69,18.7,13.2,15.9,6.2,60704,79228
"Monroe, LA Metro Area",-422,203457,9.83,5.32,4.67,0.67,0.59,0.76,22.32,15.8,9.2,9.8,3.6,40119,60942
"Monroe, MI Metro Area",-413,149727,8.7,5.38,4.33,0.84,0.26,1.52,30.79,19.5,14.6,16.7,6.5,62203,77703
"Montgomery, AL Metro Area",1064,373544,10.18,5.28,4.8,1.4,1.1,1.1,26.77,17.9,12.1,13.5,4.6,52649,72435
"Montrose, CO Micro Area",-144,46482,7.42,5.22,2.46,0.34,0.75,1.54,32.88,18.6,14,12.9,3,51647,69195
"Morehead City, NC Micro Area",-141,69070,7.4,4.31,4.03,0.9,0.82,1.59,34.91,19.3,14.2,12.7,5,57194,76847
"Morgan City, LA Micro Area",-237,50968,9.57,5.13,2.78,0.48,0.35,0.38,22.9,17.3,8.8,8.3,2.5,40485,54359
"Morgantown, WV Metro Area",756,139157,15.82,3.64,13.43,3.62,0.88,1.97,29.6,17,10.1,13.6,4.8,52332,76341
"Morristown, TN Metro Area",244,140912,8.66,5.23,4.02,0.46,0.34,0.75,24.9,18.9,12.1,10,3,45878,61104
