"METRO","migration_net","population","male_20_34_p","enrolled_9_12_p","enrolled_college_p","enrolled_grad_p","occ_com_sci_math_p","occ_eng_p","mult_desktop_laptop_p","inc_50_74","inc_75_99","inc_100_149","inc_150_199","median_income","mean_income"
"Daphne-Fairhope-Foley, AL Metro Area","583","212830","8.17","4.99","3.16","0.6","0.52","1.9","29","18.4","12.8","14.4","6","58320","80986"
"Davenport-Moline-Rock Island, IA-IL Metro Area","-760","381175","9.24","5.17","4.55","0.93","0.76","1.51","29.84","19","13.8","15.4","5.1","58531","76075"
"Dayton-Kettering, OH Metro Area","924","803543","10.02","5.02","6.41","1.53","0.92","2.15","31.38","18.1","12.9","14","5.4","55634","74770"
"Decatur, AL Metro Area","587","152271","9.01","5.15","3.44","0.63","0.61","1.66","25.54","18.7","12.1","12.6","4.3","50422","66154"
"Decatur, IL Metro Area","-8","105528","8.72","4.96","4.08","0.66","0.5","0.95","29.38","18.1","12.2","11.8","4.1","50480","69280"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","1146","646288","8.55","4.5","5.13","0.83","0.65","1.2","31.22","19.3","12.2","11.8","3.7","50360","67781"
"Denver-Aurora-Lakewood, CO Metro Area","25618","2892066","11.53","5.19","4.35","1.52","1.64","2.71","33.05","17.1","13.7","18.9","9.5","79664","106322"
"Des Moines-West Des Moines, IA Metro Area","4632","680439","10.38","5.5","4.2","1.28","1.19","1.14","31.51","18.8","14.4","17.6","7.4","70126","90791"
"Detroit-Warren-Dearborn, MI Metro Area","2681","4317848","9.77","5.5","4.94","1.21","1.01","2.99","30.3","17","12.5","15.2","6.8","60984","84396"
"Dothan, AL Metro Area","-521","148252","8.71","5.28","3.75","0.82","0.58","0.73","24.4","17.3","11.2","11.6","3.6","46351","64523"
"Dover, DE Metro Area","545","176699","10.41","5.16","6.44","1.35","0.57","0.72","28.7","19.1","14.6","15.1","5.6","60910","75577"
"Dubuque, IA Metro Area","129","96982","10.02","5.02","6.4","1.05","1.07","1.63","29.94","19.1","15.8","16.4","4.6","63031","81377"
"Duluth, MN-WI Metro Area","-104","289247","10.15","4.48","7.09","1.06","0.68","1.07","31.83","19.1","13.3","15.1","4.5","56573","72156"
"Durham-Chapel Hill, NC Metro Area","3051","626695","10.81","4.88","7.36","3.11","1.82","2.11","31.76","16.8","12.6","14.7","6.7","62289","90054"
"East Stroudsburg, PA Metro Area","-199","168032","9.5","5.9","5.65","0.94","0.82","0.9","27.77","18.5","15","16.4","6.2","63934","80849"
"Eau Claire, WI Metro Area","963","167406","11.65","4.69","8.5","0.78","0.81","0.76","31.49","19.8","14.6","15.9","4.2","59584","74788"
"El Centro, CA Metro Area","-379","180701","12.44","7.25","6.4","0.65","0.27","0.74","16.65","15.5","12","13","4.1","47622","64355"
"El Paso, TX Metro Area","2277","840477","12.32","6.35","7.4","1.44","0.61","1.22","22.19","19","10.8","11.2","3.7","46795","62663"
"Elizabethtown-Fort Knox, KY Metro Area","1285","150913","10.43","5.52","4.95","1.04","0.72","0.7","28.54","19.6","12.9","14.8","4.3","54132","70570"
"Elkhart-Goshen, IN Metro Area","127","204558","9.7","5.89","2.98","0.34","0.4","0.59","24.99","21.5","14.5","13.3","4.2","57021","71964"
"Elmira, NY Metro Area","-677","84895","9.58","5.02","3.59","0.5","0.44","1","30.45","19","13.5","14.3","4.4","54940","70677"
"Enid, OK Metro Area","-166","61898","11.22","5.26","3.84","0.81","0.18","0.83","26.8","19.7","13.2","13.8","3.7","54006","71136"
"Erie, PA Metro Area","-256","273835","10.13","4.89","5.7","1.37","0.73","1.2","29.88","18.6","12.3","12.9","4.1","51529","68976"
"Eugene-Springfield, OR Metro Area","1134","373340","11.49","4.57","8.09","1.15","0.69","0.83","33.91","18.6","12.8","12.5","4.4","52426","70956"
"Evansville, IN-KY Metro Area","1988","314960","9.6","5.05","4.82","0.81","0.66","1.1","29.86","18.2","13.3","13.7","4.6","54063","74255"
"Fairbanks, AK Metro Area","-66","99072","17.14","4.27","7.21","1.86","0.59","1.45","30.34","18.6","15.3","18.7","9.6","76992","96615"
"Fargo, ND-MN Metro Area","1169","240421","14.1","4.47","9.82","1.76","1.05","1.27","34.12","18.3","15.3","15.7","6.1","64666","85794"
"Farmington, NM Metro Area","-163","126515","10.09","5.83","4.93","0.85","0.23","0.72","22.79","18.2","13.6","12.5","3.7","50518","64814"
"Fayetteville-Springdale-Rogers, AR Metro Area","555","514259","11.59","5.27","6.49","1.2","1.25","1.56","29.07","19.1","12.2","13.6","5.5","57603","82188"
"Fayetteville, NC Metro Area","3353","519101","13.85","5.44","7.18","1.51","0.65","0.53","27.93","18.9","12.5","11.5","3.4","48459","61989"
"Flagstaff, AZ Metro Area","789","141274","13.55","4.75","16.75","1.65","0.75","1.34","26.44","18","14.4","13.2","6.2","59460","77638"
"Flint, MI Metro Area","-1747","407875","9.02","5.7","4.38","0.95","0.48","1.09","29.19","18.6","11.6","11.4","4","48588","65564"
"Florence-Muscle Shoals, AL Metro Area","1115","147327","9.75","4.6","5.84","0.67","0.62","0.77","26.73","18.6","12.5","11.4","3.2","48084","64002"
"Florence, SC Metro Area","-772","205502","8.89","5.31","4.99","0.82","0.5","0.79","24.93","17.3","9.9","10.8","4","44114","63073"
"Fond du Lac, WI Metro Area","-46","102597","9.04","5.07","5.08","0.54","0.39","0.94","31.35","20.7","15.4","16.5","5","62391","76670"
"Fort Collins, CO Metro Area","3101","344786","13.12","4.56","9.77","2.01","1.64","3.07","35.59","17.2","14.1","17.9","8.4","71881","93301"
"Fort Smith, AR-OK Metro Area","435","249777","9.52","5.38","3.98","0.59","0.48","0.66","24.93","18","11.4","10.9","2.5","44750","60525"
"Fort Wayne, IN Metro Area","841","406305","9.98","5.6","4.67","0.85","0.75","1.37","30.25","19.8","13.7","13.3","4.4","55341","73578"
"Fresno, CA Metro Area","1675","984521","11.58","6.28","6.51","0.95","0.37","0.67","22.04","17.2","12","13.3","5.8","53969","74776"
"Gadsden, AL Metro Area","-32","102748","8.93","5.2","3.91","0.52","0.34","0.52","24.03","17.2","12","10.7","2.7","44637","60379"
